,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Category_i,Genres_i,NameSize
180,4.3,32584.0,29000000.0,1000000,0,0.0,0,4,6,5
181,4.1,217730.0,29000000.0,50000000,0,0.0,0,4,6,6
182,4.4,70991.0,29000000.0,5000000,0,0.0,0,4,6,3
183,4.3,1002861.0,35000000.0,100000000,0,0.0,0,4,6,7
184,3.9,16589.0,9100000.0,1000000,0,0.0,0,4,6,2
185,4.8,148945.0,25000000.0,1000000,0,0.0,0,4,6,4
186,4.5,4458.0,3900000.0,500000,0,0.0,0,4,6,8
187,4.4,62272.0,18000000.0,10000000,0,0.0,0,4,6,2
188,4.0,8941.0,12000000.0,5000000,0,0.0,0,4,6,7
189,4.3,46353.0,21000000.0,1000000,0,0.0,0,4,6,1
190,4.0,1279184.0,21000000.0,50000000,0,0.0,0,4,6,3
191,4.2,88073.0,21000000.0,10000000,0,0.0,0,4,6,5
192,4.5,67000.0,21000000.0,1000000,0,0.0,0,4,6,5
193,4.2,159872.0,21000000.0,10000000,0,0.0,0,4,6,1
194,4.2,30847.0,55000000.0,5000000,0,0.0,0,4,6,4
195,4.6,188841.0,3200000.0,5000000,0,0.0,0,4,6,2
196,4.1,11622.0,3200000.0,5000000,0,0.0,0,4,6,7
197,4.6,95912.0,3200000.0,5000000,0,0.0,0,4,6,6
198,3.1,4034.0,23000.0,100000,0,0.0,0,4,6,2
199,3.9,45964.0,16000000.0,1000000,0,0.0,0,4,6,1
200,4.3,14955.0,16000000.0,1000000,0,0.0,0,4,6,3
201,4.1,6903.0,14000000.0,1000000,0,0.0,0,4,6,9
202,4.4,31614.0,37000000.0,10000000,0,0.0,0,4,6,3
203,4.1,23055.0,37000000.0,5000000,0,0.0,0,4,6,6
204,4.1,19023.0,37000000.0,1000000,0,0.0,0,4,6,3
205,4.5,207372.0,11000000.0,5000000,0,0.0,0,4,6,7
206,4.4,1225.0,25000000.0,100000,0,0.0,0,4,6,3
207,4.4,380837.0,7300000.0,10000000,0,0.0,0,4,6,4
208,4.3,10600.0,6500000.0,1000000,0,0.0,0,4,6,5
209,4.4,74359.0,25000000.0,1000000,0,0.0,0,4,6,24
210,4.6,822.0,3100000.0,100000,0,0.0,0,4,6,2
211,4.2,80805.0,3100000.0,5000000,0,0.0,0,4,6,6
212,4.4,2287.0,1500000.0,1000000,0,0.0,0,4,6,1
213,4.7,4162.0,7500000.0,100000,0,0.0,0,4,6,4
214,3.8,14760.0,8600000.0,50000000,0,0.0,0,4,6,2
215,3.9,23243.0,8600000.0,5000000,0,0.0,0,4,6,2
216,4.3,8978.0,8600000.0,1000000,0,0.0,0,4,6,9
217,4.2,80805.0,8600000.0,5000000,0,0.0,0,4,6,6
218,4.4,42492.0,8600000.0,1000000,0,0.0,0,4,6,5
219,4.7,286897.0,39000000.0,10000000,0,0.0,0,4,6,6
